dbcan_label	cazyme_consensus_ec	cazyme_substrate_higher	cazyme_substrate_simple
GH13_14	3.2.1.68;3.2.1.41	starch	pullulan (starch degradation by fungi); starch, glycogen, and malto-oligosaccharides
GH74	3.2.1.151	xyloglucan	xyloglucan
GH27	3.2.1.22;2.4.1.-	raffinose; alpha-galactan	raffinose family oligosaccharide (plant); alpha-galactoside, galactose oligosaccharides (plant), galactomannans (plant) and galactolipid (animal)
GH74;GH74;CBM64	3.2.1.151;3.2.1.4	xyloglucan; cellulose	xyloglucan; carboxymethyl cellulose
PL11_2	4.2.2.23	pectin	rhamnogalacturonan I(pectin from the plant cell wall)
GH5_10;CBM32;CBM64	3.2.1.78	beta-mannan	mannans, galactomannans and glucomannan
GH97	3.2.1.20	alpha-glucan	alpha-glucose residue
GH43_29	3.2.1.-;3.2.1.55	arabinan; xylan	arabinan, arabinoxylan; arabinan; beta-1,3-xylan (algae); arabinoxylan
GH44	3.2.1.4;3.2.1.151;3.2.1.8	xyloglucan; beta-glucan	xyloglucan; cellulose, lichenin and cereal beta-glucan
GH5_8	3.2.1.78	beta-mannan	mannans, galactomannans and glucomannan
GH5_46;CBM9	3.2.1.4	beta-glucan	cellulose, beta-glucan
GH13_32	3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides
GH148;CBM4;GH148	3.2.1.4;3.2.1.-	beta-mannan; beta-glucan	glucomannan; beta-glucan and lichenin
GH5_10	3.2.1.78	beta-mannan	mannans, galactomannans and glucomannan
GH9	3.2.1.4	cellulose	cellulose
GH5_25;CBM6	3.2.1.4;3.2.1.8	beta-glucan; xylan	cellulose, beta-glucan; xylan
GH65	2.4.1.-	alpha-glucan	kojibiose and alpha-1,2-oligoglucan
GH13_6	3.2.1.1;3.2.1.98	starch	starch, glycogen, and malto-oligosaccharides
GH33;GH29	3.2.1.111;3.2.1.51	host glycan	human milk oligosaccharides, mucin, host glycan
PL17_2;PL17	4.2.2.3	alginate	alginate
PL7_5	4.2.2.26	alginate	alginate
PL6;PL6_1	4.2.2.11;4.2.2.-	alginate	alginate
PL6;PL6_1	4.2.2.3	alginate	alginate
PL6	4.2.2.3	alginate	alginate
GH2;CBM35	3.2.1.23	beta-galactan	beta-galactoside
PL24	4.2.2.-	algal	ulvan
GH5	3.2.1.123	glycolipid	glycosphingolipids
PL28	4.2.2.-	algal	ulvan
PL37	4.2.2.20;4.2.2.8;4.2.2.-	host glycan	glycosaminoglycans(host glycan); heparin sulfate(host glycan)
CE1;GH31	2.4.1.161	starch	glycogen and starch
GH94	2.4.1.20	cellulose	cellobiose
GH13_18;GH13_18	2.4.1.352	glucosylglycerate	glucosylglycerate
GH144	3.2.1.71	beta-glucan	beta-1,2-glucan (bacteria)
GH5_7	3.2.1.78	beta-mannan	mannans, galactomannans and glucomannan
GH43_10	3.2.1.55;3.2.1.37	xylan	xylan; arabinoxylan
GH95	3.2.1.63	xyloglucan, host glycan	alpha1,2-L-fucosidase sugar
GH110	3.2.1.-;3.2.1.22	host glycan	blood group B substances, host glycans
GH117;GH117;GH95	3.2.1.63;3.2.1.51	host glycan; xyloglucan, host glycan	alpha-L-fucoside; alpha1,2-L-fucosidase sugar
GH94	2.4.1.321	cellulose	cellobionic acid
GH9	3.2.1.4;3.2.1.91;3.2.1.73;3.2.1.-	beta-glucan; cellulose	xanthan; cellulose; beta-glucan, lichenin; cellulose and cellotetraose
GH57	3.2.1.1;3.2.1.41	starch; alpha-glucan	starch, glycogen and related polysaccharides and oligosaccharides(containing three or more (1->4)-alpha-linked D-glucose units); pullulan, maltodextrins and cyclodextrin
GH13_20	3.2.1.-	starch	starch
CBM20;GH77	2.4.1.25	starch	amylomaltase
GH153	3.2.1.-	exo-polysaccharide	deacetylated poly-β(1,6)-N-acetyl-glucosamine (bacterial PNAG for biofilm)
CBM41;GH13_14	3.2.1.41;3.2.1.1;3.2.1.68	starch	starch, glycogen, and malto-oligosaccharides; pullulan (starch degradation by fungi)
GH116	3.2.1.21	exo-polysaccharide	human bile acid, archaea exo-polysaccharide (EPS)
GH23;CBM50	3.2.1.14	chitin	chitin
CBM41;CBM48;GH13_14	3.2.1.41;3.2.1.1;3.2.1.68	starch	starch, glycogen, and malto-oligosaccharides; pullulan (starch degradation by fungi)
GH5_46;CBM6;CBM6	3.2.1.75	beta-glucan	laminarin (algae), pustulan (fungi)
GH42;GH164	3.2.1.25	beta-mannan	beta-mannoside
GH173	3.2.1.23	pectin	beta-galactoside (pectin)
GH5_28	3.2.1.123	glycolipid	glycosphingolipids
GH9	3.2.1.4;3.2.1.-;3.2.1.73	beta-glucan; cellulose	xanthan; cellulose; beta-glucan, lichenin
GH2;GH2	3.2.1.23	beta-galactan	beta-galactoside
GH9	3.2.1.74;3.2.1.165	chitosan; cellulose	chitosan or chitosan oligosaccharides; cellulose
GH10	3.2.1.4;3.2.1.8	beta-glucan; xylan	cellulose, xylan, beta-1,4-glucan; xylan
GH99	3.2.1.130;3.2.1.198	host glycan; alpha-mannan	host N-glycan; alpha-mannans (fungi)
GH129	3.2.1.49	host glycan	mucin-type O-glycans
PL33_1	4.2.2.1	host glycan	hyaluronate(host glycan)
GH117;GH29	3.2.1.51	host glycan	human milk oligosaccharides, mucin, host glycan
CBM67;GH78;CE1	3.2.1.40	alpha-rhamnoside	α-L-rhamnosidase in polyphenol (naringin, rutin, hesperidin), ulvan, pectin, arabinogalactan-protein
GH5_48	3.2.1.132;3.2.1.52	chitosan; chitin	chitosan; chitin
GH148;GH148	3.2.1.-;3.2.1.4	beta-mannan; beta-glucan	glucomannan; beta-glucan and lichenin
GH29;CBM32	3.2.1.51	host glycan	human milk oligosaccharides, mucin, host glycan
GH68;GH68	2.4.1.10;3.2.1.26	fructan	synthesize β (2-6)-linked fructan levan with sucrose as substrate; synthesize β (2-1)-linked fructan
GH18;CE4	3.5.1.104	peptidoglycan	peptidoglycan
GH73;CBM50	3.2.1.-	peptidoglycan	peptidoglycan
GH13_7	3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides
PL6_1	4.2.2.11;4.2.2.-	alginate	alginate
PL7_5;PL7_5	4.2.2.26	alginate	alginate
GH50	3.2.1.81	agarose	porphyran, agarose
GH26	3.2.1.4;3.2.1.73	beta-glucan	beta-glucan
GH92	3.2.1.24	host glycan	host N-glycan
GH43_12;CBM91	3.2.1.37;3.2.1.55	xylan	xylan; arabinoxylan
GH3;CBM6	3.2.1.21;3.2.1.74;3.2.1.-;3.2.1.6	beta-glucan	beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans); beta-1,2-glucan (bacteria); beta-1,3-glucan (laminarin, lichenin and cereal D-glucans); beta-glucan; cellodextrin (beta-1,3-glucan)
PL7_5	4.2.2.3;4.2.2.11;4.2.2.-	alginate	alginate
CBM90;PL28;CBM90	4.2.2.-	ulvan	ulvan
PL24;CBM90	4.2.2.-	algal	ulvan
GH84	3.2.1.169	host glycan	cleave beta-O-linked GlcNAc of host glycan
GH13_3;GH133	2.4.99.16	starch	starch, glycogen, and malto-oligosaccharides
GH130	2.4.1.339	beta-mannan	beta-mannan
CBM32;GH16_3	3.2.1.39	beta-glucan	beta-1,3-glucan (fungi, algae, plant)
GH43_12;CBM91	3.2.1.55;3.2.1.37	xylan	xylan; arabinoxylan
GH86	3.2.1.81;3.2.1.178	agarose	porphyran; porphyran, agarose
GH130	2.4.1.-	beta-mannan	mannooligosaccharides; beta-mannan
GH43_2;CBM6	3.2.1.55	xylan	arabinoxylan
GH16_3;CBM4;CBM4	3.2.1.6;3.2.1.73	beta-glucan	beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans)
GH95	3.2.1.63;3.2.1.51	host glycan; xyloglucan, host glycan	alpha-L-fucoside; alpha1,2-L-fucosidase sugar
PL6_2	4.2.2.-	alginate	alginate
GH5_28;GH5_22	3.2.1.123;3.2.1.4	glycolipid; beta-glucan	glycosphingolipids; cellulose, beta-glucan
CBM2;CBM2;GH18	3.2.1.14;3.2.1.-;3.2.1.132	peptidoglycan; chitin	peptidoglycan; chitooligosaccharides (symbiotic nitrogen-fixing bacteria); chitin
CBM9;GH13_20	3.2.1.-;3.2.1.54	starch	starch; cyclomaltodextrins
GH5	3.2.1.78	beta-mannan	mannans, galactomannans and glucomannan
GH13_26;GH13_26	5.4.99.15	starch	starch
GH79	3.2.1.166	host glycan	heparan sulfate proteoglycans
GH43_11	3.2.1.37;3.2.1.55	xylan	xylan; arabinoxylan
CBM22;GH10	3.2.1.8;3.2.1.-	alkaloid; xylan	alpha-tomatine (glycoalkaloids); arabinoxylan; xylan
GH23	3.2.1.14	chitin	chitin
GH37;GH37	3.2.1.28	trehalose	alpha-trehalose
PL29;CBM32	4.2.2.20	host glycan	glycosaminoglycans(host glycan)
GH57;GH57	3.2.1.1;2.4.1.25	starch	starch, glycogen, and malto-oligosaccharides; starch, glycogen and related polysaccharides and oligosaccharides(containing three or more (1->4)-alpha-linked D-glucose units)
GH13_36	3.2.1.54	starch	cyclomaltodextrins
GH5_46;CBM6;CBM6	3.2.1.4	beta-glucan	cellulose, beta-glucan
GH74;GH74	3.2.1.151	xyloglucan	xyloglucan
PL15	4.2.2.3	alginate	alginate
PL7	4.2.2.3	alginate	alginate
GH16_3	3.2.1.6	beta-glucan	beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans)
GH30	3.2.1.8	xylan	xylan
GH5_4	3.2.1.4	beta-glucan	cellulose, beta-glucan
GH2	3.2.1.152;3.2.1.25	host glycan; beta-mannan	N-glycan (plant); beta-mannoside
GH31	3.2.1.20;3.2.1.10	starch	starch
GH30_3	3.2.1.-	xylan	xylan
GH32	2.4.1.-;3.2.1.7	fructan	levan (fructan); graminan- and levan-type fructans; fructan(inulin, levan and sucrose); inulin
PL9_4	4.2.2.-	peptidoglycan	thiopeptidoglycan
GH32	3.2.1.26;3.2.1.64	fructan	fructan(inulin, levan and sucrose)
GH3	3.2.1.-	beta-glucan	beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans); beta-1,2-glucan (bacteria); beta-1,3-glucan (laminarin, lichenin and cereal D-glucans)
PL6_1	4.2.2.11;4.2.2.-;4.2.2.3	alginate	alginate
CE15;GH10	3.1.1.117;3.2.1.8	xylan	xylan
CBM38;GH32	3.2.1.65;3.2.1.26;3.2.1.153;3.2.1.64;2.4.1.99	fructan	fructan(inulin, levan and sucrose); fructan; levan (fructan)
GH8;GT2	2.4.1.12	beta-glucan	cellulose
GH5_46;CBM6	3.2.1.4	beta-glucan	cellulose, beta-glucan
CBM4;GH10	3.2.1.8	xylan	xylan
GH13	2.4.99.16	starch	starch, glycogen, and malto-oligosaccharides
PL15_1	4.2.2.26	alginate	alginate
GH16_3;CBM6	3.2.1.73;3.2.1.39	beta-glucan	beta-1,3-glucan (fungi, algae, plant); beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans)
PL39	4.2.2.-	algal	alginate
GH13_24	3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides
GH99	3.2.1.130	host glycan	host N-glycan
GH13_20	3.2.1.54;3.2.1.135	starch	pullulan (starch degradation by fungi); cyclomaltodextrins
PL6;PL6_1	4.2.2.11;4.2.2.-;4.2.2.26	alginate	alginate
GH28;GH105	3.2.1.67;3.2.1.-	ulvan; pectin	ulvan; pectin; xylogalacturonan (pectin); galacturonan (pectin)
GH2;GH53	3.2.1.23;3.2.1.89	beta-galactan; arabinogalactan protein	beta-galactoside; arabinogalactan
GH9;CE4	3.5.1.104	peptidoglycan	peptidoglycan
GH13_20	3.2.1.54	starch	cyclomaltodextrins
PL1_5	4.2.2.2	pectin	pectin
GH13_1	3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides
GH31	3.2.1.10;3.2.1.20	starch	starch
CE4;GH3	3.2.1.37;3.2.1.55;3.2.1.21	beta-glucan; xylan; arabinan	beta-glucan; xylan; arabinan, arabinoxylan
GH43_2;CBM6	3.2.1.37;3.2.1.55	xylan	xylan; arabinoxylan
CBM20;CBM20;GH77	2.4.1.25	starch	amylomaltase
GH13_19	3.2.1.-	starch	starch
GH3;GH17	3.2.1.21;3.2.1.39	beta-glucan	beta-1,3-glucan (algae, plant); beta-glucan
CBM48;GH13_10	3.2.1.141;3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides; starch
